Date,Close_HDFC,Close_KOTAK,Close_SBI
6/4/2018,1833.15,1303.95,263.00
6/5/2018,1848.40,1304.70,263.55
6/6/2018,1858.45,1315.70,270.15
6/7/2018,1869.00,1310.45,269.65
6/8/2018,1840.45,1318.35,273.00
6/11/2018,1839.45,1323.35,274.00
6/12/2018,1847.70,1329.30,282.85
6/13/2018,1832.30,1325.65,287.70
6/14/2018,1833.75,1332.65,282.60
6/15/2018,1832.25,1340.00,277.45
6/18/2018,1823.55,1315.30,276.85
6/19/2018,1828.00,1303.25,272.60
6/20/2018,1847.00,1324.60,273.30
6/21/2018,1858.90,1313.95,268.65
6/22/2018,1906.75,1321.40,273.05
6/25/2018,1893.80,1328.00,268.45
6/26/2018,1915.85,1329.85,267.40
6/27/2018,1904.85,1324.20,261.70
6/28/2018,1878.00,1339.10,257.00
6/29/2018,1908.10,1342.95,259.35
7/2/2018,1897.10,1337.95,258.85
7/3/2018,1879.70,1353.15,257.50
7/4/2018,1922.50,1365.25,257.45
7/5/2018,1931.05,1365.00,256.45
7/6/2018,1916.85,1371.20,257.20
7/9/2018,1904.90,1385.10,261.55
7/10/2018,1942.55,1372.15,263.75
7/11/2018,1928.10,1386.95,259.10
7/12/2018,1962.70,1389.80,262.75
7/13/2018,1972.50,1404.35,257.75
7/16/2018,1991.20,1408.45,251.60
7/17/2018,1989.30,1400.60,259.05
7/18/2018,2009.45,1398.55,259.55
7/19/2018,1988.40,1347.40,260.20
7/20/2018,1973.85,1333.30,261.50
7/23/2018,1966.85,1337.05,266.35
7/24/2018,1975.55,1312.25,266.85
7/25/2018,2000.85,1314.90,271.85
7/26/2018,2023.40,1311.25,287.70
7/27/2018,2047.25,1311.10,286.75
7/30/2018,2028.75,1305.25,297.40
7/31/2018,1994.85,1306.85,293.50
8/1/2018,1970.15,1312.70,295.10
8/2/2018,1931.95,1280.20,293.90
8/3/2018,1977.50,1309.50,299.25
8/6/2018,1979.30,1282.80,308.50
8/7/2018,1978.60,1283.70,304.05
8/8/2018,1984.60,1288.30,308.70
8/9/2018,1969.95,1277.25,317.40
8/10/2018,1974.30,1285.50,304.45
8/13/2018,1947.00,1287.15,294.15
8/14/2018,1941.50,1293.00,294.90
8/16/2018,1891.20,1245.40,292.70
8/17/2018,1885.65,1263.25,302.10
8/20/2018,1920.05,1274.75,307.65
8/21/2018,1913.35,1263.40,307.00
8/23/2018,1906.30,1247.70,302.45
8/24/2018,1919.05,1254.50,300.45
8/27/2018,1924.85,1274.90,308.00
8/28/2018,1955.15,1285.10,305.35
8/29/2018,1956.25,1288.60,309.70
8/30/2018,1934.15,1278.05,308.60
8/31/2018,1935.95,1287.25,309.60
9/3/2018,1944.80,1269.10,306.35
9/4/2018,1954.80,1257.60,296.40
9/5/2018,1937.40,1238.15,296.55
9/6/2018,1956.15,1260.90,296.45
9/7/2018,1920.00,1244.95,291.65
9/10/2018,1883.55,1223.35,284.85
9/11/2018,1868.05,1206.40,282.60
9/12/2018,1877.80,1230.40,285.30
9/14/2018,1925.45,1239.55,290.65
9/17/2018,1878.85,1230.40,285.30
9/18/2018,1855.70,1215.30,273.80
9/19/2018,1830.65,1226.90,271.50
9/21/2018,1839.40,1180.20,270.60
9/24/2018,1718.70,1148.70,264.35
9/25/2018,1773.35,1183.35,270.90
9/26/2018,1767.45,1169.40,263.85
9/27/2018,1729.00,1142.45,265.35
9/28/2018,1754.50,1141.60,265.50
10/1/2018,1806.35,1122.00,273.85
10/3/2018,1797.55,1098.25,271.70
10/4/2018,1778.45,1074.50,271.35
10/5/2018,1708.65,1052.20,258.35
10/8/2018,1667.70,1104.30,265.75
10/9/2018,1712.75,1108.45,262.95
10/10/2018,1736.95,1137.75,278.65
10/11/2018,1684.55,1115.55,262.15
10/12/2018,1730.30,1167.15,263.75
10/15/2018,1732.90,1170.45,263.20
10/16/2018,1756.25,1175.75,270.30
10/17/2018,1737.80,1176.00,261.15
10/19/2018,1660.25,1198.95,261.10
10/22/2018,1658.30,1164.00,260.35
10/23/2018,1686.75,1174.45,255.65
10/24/2018,1741.45,1177.10,255.70
10/25/2018,1694.45,1185.80,249.55
10/26/2018,1702.10,1158.60,248.10
10/29/2018,1698.40,1138.10,267.90
10/30/2018,1671.90,1123.80,273.15
10/31/2018,1769.25,1119.15,281.40
